object_key,course_id,course_title,type,path,name,aliases,keywords,priority,enabled,notes,source_status
course-2:163e1cb11d55f668,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/cookie-signature/.npmignore,.npmignore,,,0,TRUE,,active
course-2:10c10da2ad6198be,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/cookie-signature/History.md,History.md,,,0,TRUE,,active
course-2:b572a48fe15c4a16,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/cookie-signature/Readme.md,Readme.md,,,0,TRUE,,active
course-2:70cdcbdcd79f422f,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/src,src,,,0,TRUE,,active
course-2:3907fbd1a948f686,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/.coveralls.yml,.coveralls.yml,,,0,TRUE,,active
course-2:8f6b49d6d8a5a607,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/.eslintrc,.eslintrc,,,0,TRUE,,active
course-2:e5ff797321127d20,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/.npmignore,.npmignore,,,0,TRUE,,active
course-2:41ebf38feabf99a6,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/.travis.yml,.travis.yml,,,0,TRUE,,active
course-2:8686b6a912e08d4b,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/CHANGELOG.md,CHANGELOG.md,,,0,TRUE,,active
course-2:3472603e28f9e3f1,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/LICENSE,LICENSE,,,0,TRUE,,active
course-2:fbe8fd291c8632f5,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/Makefile,Makefile,,,0,TRUE,,active
course-2:55361a9882660ef8,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/README.md,README.md,,,0,TRUE,,active
course-2:bc78e22afd55202a,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/component.json,component.json,,,0,TRUE,,active
course-2:ee5f37536f721768,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/karma.conf.js,karma.conf.js,,,0,TRUE,,active
course-2:e2a13704d1365b27,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/debug/node.js,node.js,,,0,TRUE,,active
